method,seed,ACC,ARI,NMI,silhouette,time
kmeans++,84,0.8533333333333334,0.645147003482001,0.6612870494395352,0.4565352255831263,0.0020308494567871094
kmeans++,828,0.58,0.432804702527474,0.5895674488004075,0.4798814508199816,0.003953695297241211
kmeans++,131,0.8533333333333334,0.645147003482001,0.6612870494395352,0.4565352255831263,0.0020296573638916016
kmeans++,406,0.8533333333333334,0.645147003482001,0.6612870494395352,0.4565352255831263,0.000997304916381836
kmeans++,725,0.8333333333333334,0.6201351808870379,0.659486892724918,0.45994823920518635,0.0019941329956054688
kmeans++,998,0.8133333333333334,0.5923326221845838,0.6426583176523605,0.4630420362927048,0.0029926300048828125
kmeans++,49,0.8533333333333334,0.645147003482001,0.6612870494395352,0.4565352255831263,0.00299072265625
kmeans++,503,0.8133333333333334,0.5923326221845838,0.6426583176523605,0.4630420362927048,0.0029909610748291016
kmeans++,860,0.8333333333333334,0.6201351808870379,0.659486892724918,0.45994823920518635,0.0009963512420654297
kmeans++,117,0.58,0.432804702527474,0.5895674488004075,0.4798814508199816,0.0019953250885009766
